Id,SalePrice
1461,102315.7396
1462,143480.0576
1463,162848.1674
1464,186110.8134
1465,182431.8294
1466,173416.8687
1467,193107.3383
1468,172960.0158
1469,186681.3925
1470,116123.0695
1471,189966.8012
1472,95112.63996
1473,95733.90191
1474,150566.481
1475,120271.0514
1476,351880.9444
1477,237907.0541
1478,293145.309
1479,310730.7968
1480,443532.4464
1481,327367.051
1482,207033.0576
1483,179855.1388
1484,171416.0595
1485,210678.0114
1486,203773.6988
1487,300380.6176
1488,233618.1767
1489,183557.9017
1490,225130.5886
1491,199573.9346
1492,85657.23258
1493,216644.8652
1494,291285.6309
1495,273851.5456
1496,248000.8446
1497,180923.1801
1498,169448.7876
1499,174228.294
1500,166141.9629
1501,165122.7112
1502,158111.7649
1503,277104.7687
1504,245102.4242
1505,228051.8342
1506,201625.1838
1507,229171.5047
1508,203209.6735
1509,153826.7138
1510,144297.4288
1511,154826.1702
1512,164253.3468
1513,164558.2857
1514,154217.1032
1515,196356.0135
1516,158493.5792
1517,176503.7997
1518,133446.486
1519,210379.0274
1520,129171.7137
1521,121706.1884
1522,174996.5824
1523,109824.0405
1524,120011.1046
1525,116456.3432
1526,105441.3889
1527,105194.7728
1528,133694.0369
1529,141179.7128
1530,193767.8268
1531,133853.7173
1532,101781.2967
1533,136398.6028
1534,141937.8159
1535,130323.5557
1536,103494.9589
1537,56750.34492
1538,146915.9677
1539,190717.6284
1540,94805.46565
1541,138568.1586
1542,118051.448
1543,158757.5399
1544,87992.59945
1545,107215.0313
1546,149032.8534
1547,125627.5644
1548,123859.5087
1549,113471.2576
1550,140803.0106
1551,102447.1677
1552,134267.01
1553,132012.9198
1554,119819.7615
1555,156996.0629
1556,86707.09685
1557,85507.58012
1558,96505.99542
1559,70064.15717
1560,123478.0797
1561,105376.9848
1562,134877.1416
1563,111619.1305
1564,161640.3128
1565,146549.4572
1566,218537.1124
1567,70847.60773
1568,234264.7997
1569,142461.3788
1570,154659.9813
1571,127141.8895
1572,141765.4577
1573,212158.9218
1574,119937.4082
1575,212479.9071
1576,270336.8504
1577,177703.6795
1578,152154.713
1579,143182.5314
1580,196396.1659
1581,159307.5541
1582,131095.3817
1583,289087.0535
1584,221585.0903
1585,139308.4359
1586,71556.69567
1587,104957.418
1588,161068.2278
1589,94725.96519
1590,139876.7775
1591,95847.76832
1592,106709.0971
1593,137118.5971
1594,132824.1233
1595,101200.4778
